id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,key,value,value_type,remark,status,order_num
7,2024-02-03 07:45:37.657002,1,2024-02-03 16:27:42.898573,1,0,自定义直播本地文件,vod_zb_file,txt/zb.txt,file,hipy的自定义直播本地文件,1,7
8,2024-02-03 07:45:37.660909,1,2024-02-03 16:27:42.903476,1,0,自定义直播使用,vod_zb_use,file,str,"hipy的直播使用外链或文件|file:使用文件,url:使用外链",1,8
9,2024-02-03 07:45:37.664410,1,2024-02-03 16:27:42.907015,1,0,自定义挂载jar,vod_custom_jar,drpy_libs/custom_spider_dz1201.jar,file,"hipy的自定义外挂jar文件,用于直播解析和视频解析轮询",1,9
10,2024-02-03 07:45:37.668538,1,2024-02-03 16:27:42.910857,1,0,自定义壁纸,vod_wall_paper,https://tuapi.eees.cc/api.php?category=fengjing&type=302,url,hipy的自定义壁纸，可以是文件或着链接,1,10
11,2024-02-03 07:45:37.674180,1,2024-02-03 16:27:42.914259,1,0,环境变量,vod_hipy_env,"{""ali_token"":""682c41720d6d4c9d8ded00bcdd712870"",""bili_cookie"":""SESSDATA=93f1b89c%2C1685503124%2C760e0%2Ac1; bili_jct=5e0a1e65979f4d9f48fd9c158362b573; DedeUserID=253592508"",""douban"":""264291961"",""vmid"":""253592508"",""test_env"":""测试环境变量"",""appkey"":""1d8b6e7d45233436"",""access_key"":""3841bf63f94a8e8d0181e59470167aa1CjCup6x6MSEv8rLctbAuWLQs0ra3Ej09EJhjMBrgAsaVt3ALYteyfxjvizVqWrnlR0ESVmlucDVmcHBycjZDVk9KMDFucTRmMEcwMUlHWWhQZkVvUnRqeTdMWTNjU2phSkdpRkZFTGJPQUZ6NEVmcVVMUUx2WjZBTl8wb0lsTjhLbmp6SHVxRjdRIIEC""}",json,hipy的环境变量，json数据,1,11
4,2024-02-03 07:45:37.643474,1,2024-02-03 16:49:40.970595,1,0,自定义配置模板文件,vod_config_custom,txt/custom.conf,file,hipy的自动生成在线配置将使用此文件作为个性化配置,1,4
1,2024-02-03 07:45:37.619387,1,2024-02-03 16:27:42.863577,1,0,drpy接口文件,vod_drpy_api,drpy_libs/drpy2.min.js,file,自动生成配置中的drpy的api将会使用此文件,1,1
2,2024-02-03 07:45:37.631114,1,2024-02-03 16:27:42.881258,1,0,接口密码,vod_passwd,dzyyds,str,hipy的t4接口将使用此密码作为参数验证,1,2
3,2024-02-03 07:45:37.638173,1,2024-02-03 16:27:42.885699,1,0,生成配置模板文件,vod_config_base,txt/config.txt,file,hipy的自动生成在线配置将使用此文件作为渲染模板,1,3
5,2024-02-03 07:45:37.647586,1,2024-02-03 16:27:42.892150,1,0,自定义解析文件,vod_vip_parse,txt/vip_parse.conf,file,hipy的自定义视频解析配置文件,1,5
6,2024-02-03 07:45:37.651462,1,2024-02-03 16:27:42.895388,1,0,自定义直播外链,vod_zb_url,http://hiker.nokia.press/hikerule/zyw_data/43,url,hipy的自定义直播外链文件,1,6
